investor_id,age,gender,city_tier,income_bracket,occupation,education,primary_platform,years_investing,financial_literacy_score,self_reported_risk_appetite,monthly_savings_inr,total_portfolio_value_inr,has_aa_consent,direct_equity_inr,mutual_funds_inr,epf_inr,nps_inr,gold_physical_inr,gold_digital_inr,fixed_deposits_inr,ppf_inr,real_estate_estimate_inr,total_tracked_wealth_inr,total_estimated_wealth_inr,pct_wealth_on_single_platform,wealth_fragmentation_score,num_mutual_funds,num_direct_stocks,num_total_instruments,perceived_diversification_score,actual_diversification_score,diversification_gap,unique_underlying_stocks_in_mf,top15_stocks_cover_pct_of_mf,top_sector,top_sector_concentration_pct,top3_instruments_weight_pct,herfindahl_index,overlap_risk_flag,high_concentration_flag,knows_what_var_is,knows_sharpe_ratio,checks_portfolio_correlation,checks_sector_concentration,uses_stop_loss,simulates_before_trading,tracks_all_assets_in_one_place,risk_awareness_score_out_of_10,total_loss_last_18mo_inr,main_pain_point,would_use_parakh_simulator,willingness_to_pay_monthly_inr,preferred_channel,heard_of_account_aggregator,equity_to_total_wealth_pct,epf_gold_fd_share_pct,risk_loss_ratio,parakh_need_score
INV0011,22,Male,Tier 1,10L-20L,Salaried-Private,Post-Graduate,Zerodha,2,6,Moderate,22565,1052923,1,436596,616327,326401,0,0,96167,2448631,0,0,3924122,3924122,26.8,5,10,6,16,10.0,2.3,7.7,88,82.3,Diversified,51.7,57.1,0.137546,1,0,0,1,1,1,0,0,1,6.0,0,Can't track all investments in one place,1,242,WhatsApp Bot,1,26.8,73.2,0.0,5.6
INV0012,59,Male,Tier 3,10L-20L,Retired,12th Pass,Zerodha,4,5,Moderate,22821,1251527,0,605596,645931,0,300000,0,0,198248,0,4291469,1749775,6041244,20.7,5,6,7,13,9.5,1.8,7.7,48,81.0,Diversified,57.4,73.4,0.213686,1,1,0,0,1,0,0,0,0,2.0,32600,Can't track all investments in one place,0,0,Mobile App,0,20.7,79.3,2.6,6.99
INV0013,50,Female,Tier 3,50L+,Freelancer,Graduate,Zerodha,2,6,Conservative,58251,1672878,0,735981,936897,0,0,364378,0,14459843,0,8466043,16132721,24963142,6.7,5,3,1,4,3.5,1.0,2.5,23,83.6,Mining,52.0,87.5,0.305078,1,1,0,1,0,0,0,0,0,1.5,18058,No idea what will happen if a stock falls,0,0,Mobile App,0,6.7,93.3,1.08,5.35
INV0014,31,Female,Tier 1,<3L,Salaried-Private,Graduate,Zerodha,4,6,Moderate,3602,206343,1,113341,93002,95514,0,395347,0,0,40000,0,341857,737204,28.0,5,11,4,15,10.0,1.0,9.0,105,80.4,Pharma,45.7,69.8,0.229898,1,1,0,1,0,1,0,0,1,4.0,12612,Panic during market crashes,1,0,Mobile App,1,28.0,72.0,6.11,6.75
INV0015,30,Male,Tier 2,3L-6L,Salaried-Govt,Graduate,Upstox,2,6,Moderate,6359,240896,1,126776,114120,90861,0,291905,53063,0,0,0,384820,676725,35.6,5,5,11,16,10.0,2.1,7.9,38,66.5,Diversified,43.3,68.0,0.211026,1,1,0,1,0,0,0,0,1,2.5,15859,Don't know if I'm really diversified,0,0,Mobile App,1,35.6,64.4,6.58,6.89
INV0016,30,Male,Tier 3,<3L,Salaried-Private,12th Pass,Zerodha,2,3,Moderate,3549,138428,1,67350,71078,42681,0,0,94558,268118,0,0,543785,543785,25.5,5,6,10,16,10.0,4.3,5.7,61,60.5,Diversified,51.0,41.4,0.106444,0,0,0,0,0,0,0,0,1,1.0,6153,Don't understand how macros affect my stocks,0,0,Web,1,25.5,74.5,4.44,6.64
INV0017,34,Male,Tier 1,10L-20L,Salaried-Private,Post-Graduate,Angel One,2,5,Moderate,11589,446453,0,263470,182983,330504,0,266149,0,2522926,150000,0,3449883,3716032,12.0,6,6,10,16,10.0,4.4,5.6,45,61.5,Diversified,41.9,43.2,0.106607,0,0,0,0,1,1,0,0,1,4.5,0,Can't track all investments in one place,0,0,Mobile App,0,12.0,88.0,0.0,5.68
INV0018,40,Female,Tier 2,20L-50L,Freelancer,Graduate,Zerodha,7,8,Conservative,48504,5023265,0,1488948,3534317,0,0,0,0,6905063,0,13248061,11928328,25176389,20.0,4,5,5,10,7.5,1.0,6.5,30,76.5,Diversified,67.7,93.8,0.317475,1,1,1,1,1,1,1,0,0,7.5,2929,Don't know if I'm really diversified,1,522,Mobile App,1,20.0,80.0,0.06,4.35
INV0019,37,Female,Tier 3,3L-6L,Salaried-Private,Graduate,Groww,5,6,Moderate,4218,495133,0,191269,303864,276056,0,293382,89547,0,112500,8716202,973236,9982820,5.0,7,11,9,20,10.0,4.4,5.6,74,55.7,Diversified,58.5,48.1,0.123707,0,0,1,1,0,0,1,0,1,5.0,287,Don't know if I'm really diversified,0,0,Web,0,5.0,95.0,0.06,5.81
INV0020,33,Male,Tier 1,20L-50L,Self-Employed,Graduate,Angel One,5,6,Aggressive,40530,1365554,0,763719,601835,0,0,368659,81893,4690525,875000,0,7012972,7381631,18.5,6,4,17,21,10.0,3.4,6.6,27,70.3,Diversified,44.3,50.0,0.133725,1,0,0,1,1,1,0,0,0,5.0,42694,Can't track all investments in one place,1,888,WhatsApp Bot,0,18.5,81.5,3.13,5.86
INV0021,43,Male,Tier 2,3L-6L,Student,Graduate,Zerodha,5,6,Moderate,6801,797620,1,303198,494422,0,0,0,0,0,0,12601786,797620,13399406,6.0,3,7,9,16,10.0,2.7,7.3,66,71.2,Diversified,62.1,59.9,0.173102,1,1,0,1,0,0,1,0,1,3.5,32130,Don't know if I'm really diversified,0,0,WhatsApp Bot,1,6.0,94.0,4.03,5.73
INV0022,28,Male,Tier 1,20L-50L,Salaried-Govt,Post-Graduate,Zerodha,3,6,Moderate,46024,2766445,0,1667319,1099126,1166165,0,143287,0,0,525000,0,4457610,4600897,60.1,5,4,6,10,7.0,1.3,5.7,33,64.9,Diversified,40.6,86.9,0.314775,0,1,0,1,1,0,1,0,0,4.5,749,Lost money following social media tips,0,0,Mobile App,0,60.1,39.9,0.03,5.42
INV0023,33,Female,Tier 3,6L-10L,Freelancer,Post-Graduate,Upstox,4,7,Conservative,9445,649655,0,245685,403970,0,160000,116378,0,609000,160000,0,1578655,1695033,38.3,6,5,2,7,6.0,1.9,4.1,17,80.7,Diversified,65.3,65.3,0.196396,1,1,1,1,1,1,1,0,0,7.5,12900,Don't understand how macros affect my stocks,1,145,Mobile App,0,38.3,61.7,1.99,4.11
INV0024,35,Female,Tier 3,3L-6L,Salaried-Private,Graduate,Zerodha,3,6,Moderate,6009,335198,1,117708,217490,180951,0,478394,0,0,0,0,516149,994543,33.7,4,4,9,13,8.5,2.1,6.4,42,71.6,Diversified,68.4,74.8,0.209099,1,1,0,1,1,1,0,0,1,6.0,0,Panic during market crashes,1,119,Web,1,33.7,66.3,0.0,4.84
INV0025,38,Female,Tier 3,10L-20L,Salaried-Private,12th Pass,Groww,2,4,Conservative,13576,565754,0,182172,383582,357351,0,0,45885,2724893,150000,8453629,3843883,12297512,4.6,7,5,4,9,7.0,3.0,4.0,17,62.8,Diversified,63.7,71.3,0.211061,0,1,0,0,0,1,0,0,0,1.5,8272,No idea what will happen if a stock falls,1,345,Mobile App,0,4.6,95.4,1.46,6.48
INV0026,49,Male,Tier 2,6L-10L,Salaried-Private,Post-Graduate,Zerodha,5,7,Aggressive,15450,498819,0,270360,228459,426857,0,0,0,299532,200000,0,1425208,1425208,35.0,5,7,6,13,10.0,2.1,7.9,44,80.1,Diversified,47.8,59.9,0.167591,1,1,1,1,0,1,1,0,0,5.5,63579,Panic during market crashes,0,0,WhatsApp Bot,0,35.0,65.0,12.75,5.84
INV0027,31,Male,Tier 3,3L-6L,Self-Employed,Post-Graduate,HDFC Securities,3,6,Aggressive,5692,419906,0,200988,218918,0,0,203575,0,773741,67500,0,1261147,1464722,28.7,5,5,16,21,10.0,3.7,6.3,22,64.2,Diversified,57.0,54.2,0.120411,0,0,1,1,0,0,0,0,1,4.0,754,No idea what will happen if a stock falls,1,112,Mobile App,0,28.7,71.3,0.18,5.8
INV0028,39,Male,Tier 3,6L-10L,Student,10th Pass,Upstox,4,5,Aggressive,15355,904263,0,336670,567593,0,0,264936,0,720285,0,12311358,1624548,14200842,6.4,5,7,13,20,10.0,3.8,6.2,77,63.9,Diversified,55.1,56.0,0.152599,0,1,0,0,1,0,0,0,0,2.0,19633,No idea what will happen if a stock falls,1,194,Web,0,6.4,93.6,2.17,6.47
INV0029,42,Male,Tier 1,20L-50L,Salaried-Private,Post-Graduate,Upstox,3,7,Aggressive,39076,1534311,1,674845,859466,1183553,0,189629,0,0,0,0,2717864,2907493,52.8,4,4,9,13,8.5,1.0,7.5,31,85.0,Diversified,62.6,69.0,0.242663,1,1,1,1,0,1,0,0,1,5.5,22271,Lost money following social media tips,1,613,Mobile App,1,52.8,47.2,1.45,5.4
INV0030,24,Female,Tier 3,3L-6L,Student,10th Pass,Upstox,2,5,Moderate,5214,108038,1,44271,63767,0,0,262595,62150,587351,0,0,757539,1020134,10.6,5,5,10,15,10.0,3.3,6.7,46,58.4,Diversified,53.2,64.4,0.238322,0,1,0,1,0,1,0,0,1,4.0,2652,No idea what will happen if a stock falls,1,123,Mobile App,1,10.6,89.4,2.45,5.94
INV0031,42,Female,Tier 1,6L-10L,Salaried-Private,Graduate,Groww,5,8,Aggressive,9707,761734,0,381744,379990,508644,0,0,0,242644,0,0,1513022,1513022,50.3,4,3,9,12,7.5,3.3,4.2,16,60.5,Diversified,43.0,67.5,0.177881,0,1,1,1,1,1,1,1,0,9.0,6939,Panic during market crashes,1,186,Web,0,50.3,49.7,0.91,3.02
INV0032,29,Other,Tier 2,10L-20L,Salaried-Govt,12th Pass,Zerodha,2,5,Moderate,26818,808827,1,262280,546547,399745,150000,0,0,0,150000,0,1508572,1508572,53.6,5,8,11,19,10.0,3.9,6.1,53,67.6,Diversified,67.2,39.7,0.09924,1,0,0,0,1,1,0,0,1,4.5,1153,Don't know if I'm really diversified,1,354,Web,1,53.6,46.4,0.14,5.56
INV0033,25,Other,Tier 1,6L-10L,Salaried-Govt,Post-Graduate,Angel One,2,5,Conservative,9871,267450,0,84021,183429,211862,0,0,0,704798,80000,0,1264110,1264110,21.2,5,6,3,9,7.5,2.1,5.4,29,67.1,Diversified,66.8,75.6,0.234128,1,1,0,0,0,0,0,0,0,0.0,16212,Panic during market crashes,1,231,Mobile App,0,21.2,78.8,6.06,6.89
INV0034,58,Male,Tier 1,6L-10L,Business Owner,Post-Graduate,Groww,3,7,Moderate,13933,836253,0,453100,383153,0,120000,161541,0,0,120000,6180913,1076253,7418707,11.3,6,6,9,15,10.0,3.7,6.3,59,59.9,Diversified,43.1,65.5,0.189858,0,1,1,1,0,0,0,0,1,4.0,6556,Lost money following social media tips,1,206,Mobile App,0,11.3,88.7,0.78,6.1
INV0035,59,Female,Tier 1,6L-10L,Self-Employed,Graduate,Groww,3,6,Conservative,10852,510637,0,236484,274153,0,0,323881,0,760954,120000,0,1391591,1715472,29.8,5,4,4,8,6.0,2.4,3.6,15,71.7,Diversified,53.9,66.0,0.180197,1,1,0,1,1,0,0,0,0,3.5,0,Panic during market crashes,0,0,Mobile App,1,29.8,70.2,0.0,5.04
INV0036,49,Female,Tier 2,3L-6L,Salaried-Private,12th Pass,Groww,6,4,Moderate,3036,486850,0,247163,239687,321675,0,223594,0,485797,0,0,1294322,1517916,32.1,5,9,7,16,10.0,3.4,6.6,112,74.6,Diversified,49.9,46.8,0.114403,1,0,1,0,0,0,0,0,0,1.5,0,No idea what will happen if a stock falls,0,0,Mobile App,0,32.1,67.9,0.0,6.78
INV0037,34,Female,Tier 1,3L-6L,Salaried-Private,Graduate,Zerodha,1,5,Moderate,5144,101689,0,51075,50614,56005,0,0,87917,0,0,0,245611,245611,41.4,4,11,9,20,10.0,3.2,6.8,86,80.8,Diversified,56.1,44.2,0.104078,1,0,0,0,0,0,0,0,0,0.0,8548,Can't track all investments in one place,1,96,Mobile App,0,41.4,58.6,8.41,7.08
INV0038,26,Male,Tier 2,6L-10L,Salaried-Private,Post-Graduate,HDFC Securities,5,8,Aggressive,8462,849101,0,403218,445883,547989,0,0,0,486078,0,0,1883168,1883168,45.1,4,3,7,10,6.5,3.7,2.8,20,57.2,Diversified,45.0,65.6,0.173721,0,1,1,1,0,0,1,1,0,5.5,13370,Panic during market crashes,1,163,Mobile App,1,45.1,54.9,1.57,3.76
INV0039,45,Male,Tier 1,6L-10L,Salaried-Private,Graduate,Groww,1,5,Moderate,12101,90088,0,30748,59340,102712,0,133619,63070,0,0,0,255870,389489,23.1,5,4,8,12,8.0,2.7,5.3,35,71.1,Diversified,61.7,66.3,0.180023,1,1,0,0,1,0,0,0,0,2.0,4082,Panic during market crashes,1,228,Web,1,23.1,76.9,4.53,6.15
INV0040,37,Male,Tier 1,6L-10L,Salaried-Private,Graduate,Zerodha,4,5,Conservative,8428,534741,1,254323,280418,437482,0,167515,90559,0,0,6601136,1062782,7831433,6.8,6,8,2,10,9.0,3.4,5.6,52,61.0,Diversified,57.9,63.5,0.179161,0,1,0,0,1,1,0,0,1,4.5,0,Can't track all investments in one place,1,252,Mobile App,1,6.8,93.2,0.0,5.68
INV0041,27,Female,Tier 2,6L-10L,Business Owner,Graduate,Groww,2,6,Moderate,14777,332382,1,196327,136055,0,0,0,35762,0,0,0,368144,368144,90.3,3,4,8,12,8.0,1.9,6.1,29,80.3,Diversified,44.0,59.8,0.16632,1,1,0,1,1,1,0,0,1,6.0,2851,Don't know if I'm really diversified,1,169,Mobile App,1,90.3,9.7,0.86,4.43
INV0042,39,Male,Tier 3,3L-6L,Salaried-Govt,Graduate,HDFC Securities,3,5,Aggressive,5863,321250,1,104401,216849,155819,0,164639,0,0,67500,0,544569,709208,45.3,5,4,17,21,10.0,2.2,7.8,18,66.8,Diversified,59.6,72.8,0.258848,1,1,0,0,1,0,1,0,1,4.0,1563,Don't know if I'm really diversified,0,0,WhatsApp Bot,1,45.3,54.7,0.49,6.33
INV0043,23,Male,Tier 1,6L-10L,Student,12th Pass,Groww,3,4,Moderate,11467,811313,1,251314,559999,0,0,78858,0,0,0,0,811313,890171,91.1,3,9,5,14,10.0,2.5,7.5,81,81.5,Diversified,67.5,53.6,0.143069,1,0,0,0,0,1,1,0,1,3.5,52254,Panic during market crashes,0,0,Mobile App,1,91.1,8.9,6.44,5.8
INV0044,55,Male,Tier 2,6L-10L,Salaried-Private,Graduate,Zerodha,3,5,Moderate,13967,360440,1,182008,178432,235296,0,85208,65189,0,0,0,660925,746133,48.3,5,10,8,18,10.0,3.5,6.5,95,62.5,Diversified,46.7,63.1,0.160828,0,1,0,0,1,0,0,0,1,3.0,743,Don't understand how macros affect my stocks,0,0,Mobile App,1,48.3,51.7,0.21,6.22
INV0045,32,Male,Tier 3,20L-50L,Business Owner,Post-Graduate,Angel One,4,7,Aggressive,55843,1895616,1,630000,1265616,0,700000,100157,0,1054384,700000,0,4350000,4450157,42.6,6,4,10,14,9.0,2.3,6.7,28,70.9,Diversified,63.5,70.7,0.208248,1,1,1,1,0,1,0,0,1,5.5,4477,Don't know if I'm really diversified,1,499,Mobile App,1,42.6,57.4,0.24,5.72
INV0046,44,Male,Tier 2,10L-20L,Self-Employed,Graduate,Upstox,1,6,Aggressive,21889,491801,0,218975,272826,0,0,219397,20002,1255423,0,14409806,1767226,16396429,3.0,6,6,16,22,10.0,4.0,6.0,52,60.1,Diversified,51.5,55.1,0.137612,0,0,0,1,0,0,0,0,0,1.5,2893,Panic during market crashes,0,0,Web,1,3.0,97.0,0.59,6.87
INV0047,34,Male,Tier 1,10L-20L,Salaried-Private,Post-Graduate,Zerodha,4,6,Conservative,17758,787145,0,457245,329900,847179,0,0,0,0,0,0,1634324,1634324,48.2,3,7,1,8,7.5,1.0,6.5,40,71.8,IT,55.7,79.3,0.373783,1,1,0,1,1,0,0,0,0,3.5,13481,Panic during market crashes,0,0,Mobile App,0,48.2,51.8,1.71,5.45
INV0048,40,Male,Tier 1,10L-20L,Self-Employed,Graduate,Zerodha,1,7,Conservative,12243,192892,1,0,192892,0,0,223493,41822,0,0,0,234714,458207,42.1,4,4,0,4,4.0,1.6,2.4,27,61.5,Diversified,68.9,99.8,0.648846,0,1,1,1,0,0,0,0,1,4.0,31357,Panic during market crashes,0,0,Mobile App,1,42.1,57.9,16.26,4.14
INV0049,40,Male,Tier 3,3L-6L,Salaried-Govt,Graduate,Zerodha,6,5,Moderate,4970,611572,0,352800,258772,290349,0,489400,52548,0,135000,0,1089469,1578869,38.7,6,8,6,14,10.0,2.7,7.3,71,73.7,Diversified,53.5,64.2,0.210409,1,1,1,0,0,1,0,0,0,3.0,21392,No idea what will happen if a stock falls,1,143,Mobile App,0,38.7,61.3,3.5,6.8
INV0050,30,Female,Tier 1,10L-20L,Salaried-Private,Post-Graduate,Groww,7,8,Aggressive,18605,3085344,0,977213,2108131,1477907,0,190000,41240,0,0,0,4604491,4794491,64.4,5,3,8,11,7.0,1.1,5.9,17,61.4,Diversified,67.0,83.5,0.305591,0,1,1,1,1,0,0,1,0,6.5,18968,Can't track all investments in one place,1,372,Web,0,64.4,35.6,0.61,4.79
INV0051,59,Male,Tier 3,50L+,Retired,Graduate,Groww,6,7,Aggressive,92408,5239577,1,2491497,2748080,0,0,145192,23063,8703864,2400000,0,16366504,16511696,31.7,6,4,14,18,10.0,3.2,6.8,34,65.9,Diversified,57.2,56.6,0.149818,1,0,1,1,1,0,0,0,1,6.0,0,Don't know if I'm really diversified,0,0,Mobile App,1,31.7,68.3,0.0,5.58
INV0052,48,Female,Tier 2,10L-20L,Salaried-Govt,Post-Graduate,Zerodha,5,8,Aggressive,20101,949230,0,459999,489231,754125,0,0,0,622911,0,0,2326266,2326266,40.8,4,4,17,21,10.0,3.4,6.6,15,72.6,Diversified,50.3,53.7,0.128194,1,0,1,1,1,0,1,0,0,6.0,25986,No idea what will happen if a stock falls,1,389,WhatsApp Bot,0,40.8,59.2,2.74,4.91
INV0053,57,Male,Tier 3,20L-50L,Retired,12th Pass,Groww,2,3,Moderate,52739,1957001,0,984085,972916,0,0,434692,0,0,0,0,1957001,2391693,81.8,3,7,11,18,10.0,2.8,7.2,68,82.5,Diversified,46.5,52.1,0.123141,1,0,1,0,0,0,0,0,0,1.5,0,Can't track all investments in one place,0,0,Mobile App,0,81.8,18.2,0.0,6.4
INV0054,54,Male,Tier 3,20L-50L,Freelancer,10th Pass,Zerodha,1,3,Conservative,38103,626244,1,0,626244,0,0,0,0,0,0,10367620,626244,10993864,5.7,3,4,0,4,4.0,3.2,0.8,36,72.1,Diversified,55.5,99.3,0.443846,1,1,1,0,0,0,0,0,1,2.5,17631,Panic during market crashes,1,507,WhatsApp Bot,1,5.7,94.3,2.82,3.8
INV0055,42,Female,Tier 3,6L-10L,Business Owner,Post-Graduate,Upstox,4,8,Conservative,11828,480337,0,0,480337,0,0,0,0,1025970,0,0,1506307,1506307,31.9,3,7,0,7,7.0,4.5,2.5,69,58.5,Diversified,69.3,69.5,0.206217,0,1,1,1,0,0,1,0,0,4.0,18340,Can't track all investments in one place,0,0,Web,0,31.9,68.1,3.82,3.87
INV0056,56,Male,Tier 1,3L-6L,Self-Employed,10th Pass,HDFC Securities,5,4,Conservative,7775,528886,1,285838,243048,0,0,102921,0,0,112500,2549889,641386,3294196,16.1,5,8,3,11,9.5,2.2,7.3,48,80.0,Diversified,44.8,60.9,0.155419,1,1,0,0,0,1,0,0,1,2.5,7923,Panic during market crashes,1,109,Mobile App,1,16.1,83.9,1.5,6.68
INV0057,26,Male,Tier 3,6L-10L,Salaried-Govt,Graduate,Upstox,4,8,Moderate,13025,940550,0,422566,517984,320657,0,0,0,0,0,0,1261207,1261207,74.6,3,6,3,9,7.5,1.8,5.7,54,70.5,Diversified,50.0,76.7,0.227536,1,1,1,1,0,1,1,0,1,6.5,5624,Can't track all investments in one place,0,0,Web,0,74.6,25.4,0.6,4.12
INV0058,31,Male,Tier 2,6L-10L,Salaried-Private,Post-Graduate,Groww,3,8,Aggressive,11819,829451,1,482802,346649,292741,120000,0,99921,191697,0,0,1533810,1533810,54.1,6,6,12,18,10.0,3.5,6.5,56,65.4,Diversified,40.3,52.5,0.138725,1,0,1,1,0,0,1,1,1,6.5,46195,Don't know if I'm really diversified,1,271,Mobile App,1,54.1,45.9,5.57,5.3
INV0059,24,Female,Tier 2,10L-20L,Student,Post-Graduate,Groww,6,9,Aggressive,18689,2894397,0,1682366,1212031,0,450000,354283,64149,0,450000,0,3858546,4212829,68.7,6,6,15,21,10.0,4.0,6.0,63,69.4,Diversified,44.7,40.4,0.089516,1,0,1,1,0,0,0,1,0,4.5,0,Can't track all investments in one place,1,229,Mobile App,0,68.7,31.3,0.0,5.82
INV0060,34,Male,Tier 2,20L-50L,Salaried-Govt,Graduate,HDFC Securities,2,4,Moderate,37876,2058487,0,746780,1311707,994182,0,391866,0,0,350000,0,3402669,3794535,54.2,5,5,3,8,6.5,2.9,3.6,43,65.6,Diversified,62.3,66.9,0.180707,1,1,0,0,0,1,0,0,0,1.5,19083,Don't know if I'm really diversified,1,460,Mobile App,1,54.2,45.8,0.93,5.74
INV0061,36,Male,Tier 3,6L-10L,Salaried-Private,12th Pass,Zerodha,4,4,Moderate,9448,239524,0,92680,146844,314551,0,403815,82796,810535,160000,0,1607406,2011221,11.9,7,6,3,9,7.5,1.5,6.0,44,82.2,Diversified,58.5,70.3,0.19918,1,1,0,0,0,0,1,0,0,1.0,0,Don't know if I'm really diversified,1,213,Mobile App,0,11.9,88.1,0.0,7.35
INV0062,33,Male,Tier 3,3L-6L,Salaried-Govt,Graduate,Groww,4,6,Moderate,5188,160834,1,60487,100347,224521,90000,282704,12250,711779,0,0,1199384,1482088,10.9,7,4,10,14,9.0,2.2,6.8,26,84.7,Diversified,56.6,56.9,0.142578,1,0,0,1,1,0,0,0,1,4.5,677,No idea what will happen if a stock falls,1,122,Mobile App,1,10.9,89.1,0.42,6.4
INV0063,50,Male,Tier 3,20L-50L,Business Owner,Post-Graduate,Upstox,3,6,Conservative,53501,1329311,0,0,1329311,0,525000,210861,0,0,525000,0,2379311,2590172,51.3,5,3,0,3,3.0,3.2,0.0,15,71.2,Diversified,40.3,100.0,0.890911,1,1,0,1,0,0,0,0,0,1.5,22219,No idea what will happen if a stock falls,1,808,Web,1,51.3,48.7,1.67,4.47
