investor_id,trade_date,trade_type,asset_class,instrument_name,trade_amount_inr,decision_basis,market_event_flag,market_event_name,loss_occurred,loss_amount_inr,checked_risk_before_trade,post_trade_regret_score,age,gender,city_tier,income_bracket,occupation,education,primary_platform,years_investing,financial_literacy_score,self_reported_risk_appetite,total_portfolio_value_inr,monthly_savings_inr,has_aa_consent,risk_awareness_score_out_of_10,knows_what_var_is,checks_portfolio_correlation,checks_sector_concentration,uses_stop_loss,simulates_before_trading,would_use_parakh_simulator,willingness_to_pay_monthly_inr,main_pain_point,preferred_channel,evt_date,evt_name,evt_type,evt_sectors_impacted,evt_avg_portfolio_impact_pct,evt_pct_sold_at_loss,evt_avg_loss_per_investor_inr,evt_panic_sell_rate_pct,evt_risk_checked_before_sell_pct,evt_sentiment,loss_pct_of_trade,uninformed_trade_flag,high_risk_trade_flag
INV0002,2025-06-05,SELL,Mutual Fund,Nippon Small Cap,3121,Own Research,0,No Event,0,0,1,1,58,Male,Tier 2,10L-20L,Retired,Graduate,Angel One,5,8,Conservative,3053666,31264,1,6.0,1,1,0,0,0,1,330,Don't know if I'm really diversified,Web,No Event,No Event,No Event,No Event,0.0,0.0,0.0,0.0,0.0,No Event,0.0,0,0
INV0003,2024-01-08,BUY,Mutual Fund,Nifty 50 Index Fund (UTI),6889,Broker Recommendation,0,No Event,0,0,0,3,47,Male,Tier 3,<3L,Freelancer,Graduate,Groww,1,4,Conservative,94208,3631,0,0.0,0,0,0,0,0,1,0,No idea what will happen if a stock falls,Web,No Event,No Event,No Event,No Event,0.0,0.0,0.0,0.0,0.0,No Event,0.0,0,0
INV0003,2024-07-09,BUY,Direct Equity,Dr Reddy's,27335,News/Media,0,No Event,1,2348,0,7,47,Male,Tier 3,<3L,Freelancer,Graduate,Groww,1,4,Conservative,94208,3631,0,0.0,0,0,0,0,0,1,0,No idea what will happen if a stock falls,Web,No Event,No Event,No Event,No Event,0.0,0.0,0.0,0.0,0.0,No Event,8.59,0,0
INV0003,2024-08-30,BUY,Direct Equity,Hindalco,14359,Technical Analysis,0,No Event,0,0,0,5,47,Male,Tier 3,<3L,Freelancer,Graduate,Groww,1,4,Conservative,94208,3631,0,0.0,0,0,0,0,0,1,0,No idea what will happen if a stock falls,Web,No Event,No Event,No Event,No Event,0.0,0.0,0.0,0.0,0.0,No Event,0.0,0,0
INV0003,2024-10-02,BUY,Mutual Fund,Nippon Small Cap,19581,Broker Recommendation,0,No Event,1,7409,0,6,47,Male,Tier 3,<3L,Freelancer,Graduate,Groww,1,4,Conservative,94208,3631,0,0.0,0,0,0,0,0,1,0,No idea what will happen if a stock falls,Web,No Event,No Event,No Event,No Event,0.0,0.0,0.0,0.0,0.0,No Event,37.84,0,0
INV0003,2025-01-10,BUY,Mutual Fund,Mirae Asset Large Cap,14123,Social Media Tip,0,No Event,0,0,0,1,47,Male,Tier 3,<3L,Freelancer,Graduate,Groww,1,4,Conservative,94208,3631,0,0.0,0,0,0,0,0,1,0,No idea what will happen if a stock falls,Web,No Event,No Event,No Event,No Event,0.0,0.0,0.0,0.0,0.0,No Event,0.0,1,1
INV0003,2025-05-25,SELL,Mutual Fund,ICICI Pru Pharma ETF,39394,FOMO,0,No Event,1,2269,0,8,47,Male,Tier 3,<3L,Freelancer,Graduate,Groww,1,4,Conservative,94208,3631,0,0.0,0,0,0,0,0,1,0,No idea what will happen if a stock falls,Web,No Event,No Event,No Event,No Event,0.0,0.0,0.0,0.0,0.0,No Event,5.76,1,1
INV0004,2024-02-08,BUY,Direct Equity,Titan,4232,News/Media,1,Budget Surprise LTCG Hike,1,472,0,7,42,Female,Tier 2,6L-10L,Salaried-Private,10th Pass,Upstox,5,6,Moderate,1385219,12069,0,5.5,1,0,1,1,0,1,235,No idea what will happen if a stock falls,Mobile App,2024-02-01,Budget Surprise LTCG Hike,Regulatory,All Sectors,-10.61,43.3,2301.0,35.1,20.4,Extreme Fear,11.15,0,0
INV0004,2024-03-22,BUY,Direct Equity,ITC,14372,Social Media Tip,0,No Event,0,0,0,2,42,Female,Tier 2,6L-10L,Salaried-Private,10th Pass,Upstox,5,6,Moderate,1385219,12069,0,5.5,1,0,1,1,0,1,235,No idea what will happen if a stock falls,Mobile App,No Event,No Event,No Event,No Event,0.0,0.0,0.0,0.0,0.0,No Event,0.0,1,1
INV0004,2024-04-25,BUY,Direct Equity,Avenue Supermarts,2423,Technical Analysis,1,Iran-Israel Escalation,0,0,0,4,42,Female,Tier 2,6L-10L,Salaried-Private,10th Pass,Upstox,5,6,Moderate,1385219,12069,0,5.5,1,0,1,1,0,1,235,No idea what will happen if a stock falls,Mobile App,2024-04-19,Iran-Israel Escalation,Geopolitical,Energy,-12.74,44.0,1535.0,21.8,22.6,Extreme Fear,0.0,0,0
INV0004,2025-04-21,SELL,Direct Equity,Coal India,1236,Own Research,0,No Event,0,0,1,4,42,Female,Tier 2,6L-10L,Salaried-Private,10th Pass,Upstox,5,6,Moderate,1385219,12069,0,5.5,1,0,1,1,0,1,235,No idea what will happen if a stock falls,Mobile App,No Event,No Event,No Event,No Event,0.0,0.0,0.0,0.0,0.0,No Event,0.0,0,0
INV0004,2025-05-08,BUY,Mutual Fund,Mirae Asset Banking ETF,5264,Own Research,0,No Event,0,0,0,3,42,Female,Tier 2,6L-10L,Salaried-Private,10th Pass,Upstox,5,6,Moderate,1385219,12069,0,5.5,1,0,1,1,0,1,235,No idea what will happen if a stock falls,Mobile App,No Event,No Event,No Event,No Event,0.0,0.0,0.0,0.0,0.0,No Event,0.0,0,0
INV0004,2025-05-09,BUY,Direct Equity,Maruti Suzuki,7368,Own Research,0,No Event,0,0,1,4,42,Female,Tier 2,6L-10L,Salaried-Private,10th Pass,Upstox,5,6,Moderate,1385219,12069,0,5.5,1,0,1,1,0,1,235,No idea what will happen if a stock falls,Mobile App,No Event,No Event,No Event,No Event,0.0,0.0,0.0,0.0,0.0,No Event,0.0,0,0
INV0004,2025-06-23,BUY,Direct Equity,Power Grid,12611,News/Media,0,No Event,1,2956,0,6,42,Female,Tier 2,6L-10L,Salaried-Private,10th Pass,Upstox,5,6,Moderate,1385219,12069,0,5.5,1,0,1,1,0,1,235,No idea what will happen if a stock falls,Mobile App,No Event,No Event,No Event,No Event,0.0,0.0,0.0,0.0,0.0,No Event,23.44,0,0
INV0005,2024-03-21,SELL,Direct Equity,Coal India,15148,News/Media,0,No Event,1,6218,0,7,29,Male,Tier 3,6L-10L,Salaried-Private,Post-Graduate,Zerodha,1,4,Moderate,319279,16053,0,0.0,0,0,0,0,0,0,0,Panic during market crashes,Web,No Event,No Event,No Event,No Event,0.0,0.0,0.0,0.0,0.0,No Event,41.05,0,0
INV0006,2024-03-20,BUY,Mutual Fund,SBI Nifty IT ETF,8796,Own Research,0,No Event,0,0,1,2,29,Male,Tier 2,6L-10L,Business Owner,Post-Graduate,Angel One,2,5,Moderate,203141,7462,0,0.0,0,0,0,0,0,0,0,No idea what will happen if a stock falls,WhatsApp Bot,No Event,No Event,No Event,No Event,0.0,0.0,0.0,0.0,0.0,No Event,0.0,0,0
INV0006,2024-03-31,BUY,Direct Equity,L&T,5248,FOMO,0,No Event,1,1175,0,8,29,Male,Tier 2,6L-10L,Business Owner,Post-Graduate,Angel One,2,5,Moderate,203141,7462,0,0.0,0,0,0,0,0,0,0,No idea what will happen if a stock falls,WhatsApp Bot,No Event,No Event,No Event,No Event,0.0,0.0,0.0,0.0,0.0,No Event,22.39,1,1
INV0006,2024-11-15,BUY,Direct Equity,Nykaa,8203,Broker Recommendation,0,No Event,1,1432,0,9,29,Male,Tier 2,6L-10L,Business Owner,Post-Graduate,Angel One,2,5,Moderate,203141,7462,0,0.0,0,0,0,0,0,0,0,No idea what will happen if a stock falls,WhatsApp Bot,No Event,No Event,No Event,No Event,0.0,0.0,0.0,0.0,0.0,No Event,17.46,0,0
INV0006,2025-04-28,SELL,Direct Equity,Paytm,8456,Broker Recommendation,0,No Event,0,0,0,3,29,Male,Tier 2,6L-10L,Business Owner,Post-Graduate,Angel One,2,5,Moderate,203141,7462,0,0.0,0,0,0,0,0,0,0,No idea what will happen if a stock falls,WhatsApp Bot,No Event,No Event,No Event,No Event,0.0,0.0,0.0,0.0,0.0,No Event,0.0,0,0
INV0007,2024-02-24,BUY,Mutual Fund,Axis Mid Cap,9364,Technical Analysis,0,No Event,0,0,0,2,24,Female,Tier 2,6L-10L,Student,12th Pass,5paisa,1,2,Conservative,68093,8007,1,1.0,0,0,0,0,0,0,0,Can't track all investments in one place,WhatsApp Bot,No Event,No Event,No Event,No Event,0.0,0.0,0.0,0.0,0.0,No Event,0.0,0,0
INV0008,2024-01-12,BUY,Direct Equity,JSW Steel,9117,Broker Recommendation,0,No Event,1,3999,0,9,52,Female,Tier 3,10L-20L,Business Owner,Graduate,Groww,5,5,Moderate,552697,10021,1,2.5,0,0,1,0,0,1,283,Don't know if I'm really diversified,Web,No Event,No Event,No Event,No Event,0.0,0.0,0.0,0.0,0.0,No Event,43.86,0,0
INV0008,2025-04-09,BUY,Direct Equity,Hindalco,13722,Technical Analysis,1,Trump Tariff Shock,0,0,0,4,52,Female,Tier 3,10L-20L,Business Owner,Graduate,Groww,5,5,Moderate,552697,10021,1,2.5,0,0,1,0,0,1,283,Don't know if I'm really diversified,Web,2025-04-07,Trump Tariff Shock,Global Macro,IT/Export,-3.49,41.4,1803.0,51.8,6.2,Fear,0.0,0,0
INV0008,2025-04-25,BUY,Direct Equity,Titan,20167,Broker Recommendation,0,No Event,1,5953,0,8,52,Female,Tier 3,10L-20L,Business Owner,Graduate,Groww,5,5,Moderate,552697,10021,1,2.5,0,0,1,0,0,1,283,Don't know if I'm really diversified,Web,No Event,No Event,No Event,No Event,0.0,0.0,0.0,0.0,0.0,No Event,29.52,0,0
INV0009,2024-12-05,SELL,Direct Equity,Sun Pharma,1938,Technical Analysis,0,No Event,0,0,0,4,42,Female,Tier 1,10L-20L,Salaried-Private,12th Pass,Upstox,3,2,Conservative,456433,18153,0,1.0,0,0,0,1,0,0,0,Can't track all investments in one place,Mobile App,No Event,No Event,No Event,No Event,0.0,0.0,0.0,0.0,0.0,No Event,0.0,0,0
INV0009,2024-12-27,BUY,Direct Equity,Adani Ports,8800,Social Media Tip,0,No Event,1,3468,0,7,42,Female,Tier 1,10L-20L,Salaried-Private,12th Pass,Upstox,3,2,Conservative,456433,18153,0,1.0,0,0,0,1,0,0,0,Can't track all investments in one place,Mobile App,No Event,No Event,No Event,No Event,0.0,0.0,0.0,0.0,0.0,No Event,39.41,1,1
INV0010,2024-10-23,BUY,Mutual Fund,UTI Flexi Cap,3754,Technical Analysis,0,No Event,0,0,0,5,46,Female,Tier 2,20L-50L,Salaried-Govt,12th Pass,Groww,2,4,Conservative,687232,46819,1,1.0,0,0,0,0,0,0,0,Don't know if I'm really diversified,Mobile App,No Event,No Event,No Event,No Event,0.0,0.0,0.0,0.0,0.0,No Event,0.0,0,0
INV0011,2024-02-06,BUY,Direct Equity,Zomato,17183,Own Research,1,Budget Surprise LTCG Hike,0,0,1,5,22,Male,Tier 1,10L-20L,Salaried-Private,Post-Graduate,Zerodha,2,6,Moderate,1052923,22565,1,6.0,0,1,1,0,0,1,242,Can't track all investments in one place,WhatsApp Bot,2024-02-01,Budget Surprise LTCG Hike,Regulatory,All Sectors,-10.61,43.3,2301.0,35.1,20.4,Extreme Fear,0.0,0,0
INV0012,2024-01-28,SELL,Mutual Fund,HDFC Mid-Cap Opportunities,5944,Social Media Tip,1,Budget Surprise LTCG Hike,0,0,0,3,59,Male,Tier 3,10L-20L,Retired,12th Pass,Zerodha,4,5,Moderate,1251527,22821,0,2.0,0,1,0,0,0,0,0,Can't track all investments in one place,Mobile App,2024-02-01,Budget Surprise LTCG Hike,Regulatory,All Sectors,-10.61,43.3,2301.0,35.1,20.4,Extreme Fear,0.0,1,1
INV0012,2024-02-22,SELL,Mutual Fund,SBI Nifty IT ETF,5612,Technical Analysis,0,No Event,0,0,0,5,59,Male,Tier 3,10L-20L,Retired,12th Pass,Zerodha,4,5,Moderate,1251527,22821,0,2.0,0,1,0,0,0,0,0,Can't track all investments in one place,Mobile App,No Event,No Event,No Event,No Event,0.0,0.0,0.0,0.0,0.0,No Event,0.0,0,0
INV0012,2024-03-19,BUY,Direct Equity,Power Grid,19813,FOMO,0,No Event,1,5766,0,9,59,Male,Tier 3,10L-20L,Retired,12th Pass,Zerodha,4,5,Moderate,1251527,22821,0,2.0,0,1,0,0,0,0,0,Can't track all investments in one place,Mobile App,No Event,No Event,No Event,No Event,0.0,0.0,0.0,0.0,0.0,No Event,29.1,1,1
INV0012,2024-04-24,BUY,Direct Equity,Zomato,15354,Social Media Tip,1,Iran-Israel Escalation,1,5342,0,8,59,Male,Tier 3,10L-20L,Retired,12th Pass,Zerodha,4,5,Moderate,1251527,22821,0,2.0,0,1,0,0,0,0,0,Can't track all investments in one place,Mobile App,2024-04-19,Iran-Israel Escalation,Geopolitical,Energy,-12.74,44.0,1535.0,21.8,22.6,Extreme Fear,34.79,1,1
INV0012,2024-05-09,SELL,Mutual Fund,Mirae Asset Hybrid Equity,12626,Social Media Tip,1,Election Exit Poll Shock,1,4740,0,6,59,Male,Tier 3,10L-20L,Retired,12th Pass,Zerodha,4,5,Moderate,1251527,22821,0,2.0,0,1,0,0,0,0,0,Can't track all investments in one place,Mobile App,2024-05-04,Election Exit Poll Shock,Domestic Political,All Sectors,-6.04,46.6,2087.0,32.6,19.3,Neutral,37.54,1,1
INV0012,2024-06-22,BUY,Mutual Fund,Nifty 50 Index Fund (UTI),2195,Own Research,0,No Event,0,0,1,4,59,Male,Tier 3,10L-20L,Retired,12th Pass,Zerodha,4,5,Moderate,1251527,22821,0,2.0,0,1,0,0,0,0,0,Can't track all investments in one place,Mobile App,No Event,No Event,No Event,No Event,0.0,0.0,0.0,0.0,0.0,No Event,0.0,0,0
INV0012,2024-06-27,BUY,Mutual Fund,Nifty 50 Index Fund (UTI),26588,FOMO,0,No Event,1,2257,0,6,59,Male,Tier 3,10L-20L,Retired,12th Pass,Zerodha,4,5,Moderate,1251527,22821,0,2.0,0,1,0,0,0,0,0,Can't track all investments in one place,Mobile App,No Event,No Event,No Event,No Event,0.0,0.0,0.0,0.0,0.0,No Event,8.49,1,1
INV0012,2024-09-15,BUY,Direct Equity,HUL,2818,FOMO,1,Fed Rate Cut 50bps,1,917,0,9,59,Male,Tier 3,10L-20L,Retired,12th Pass,Zerodha,4,5,Moderate,1251527,22821,0,2.0,0,1,0,0,0,0,0,Can't track all investments in one place,Mobile App,2024-09-18,Fed Rate Cut 50bps,Global Macro,IT/Metals,-6.33,48.6,1842.0,46.8,17.6,Extreme Fear,32.54,1,1
INV0012,2024-09-20,BUY,Direct Equity,Reliance Industries,43812,Social Media Tip,1,Fed Rate Cut 50bps,1,11912,0,8,59,Male,Tier 3,10L-20L,Retired,12th Pass,Zerodha,4,5,Moderate,1251527,22821,0,2.0,0,1,0,0,0,0,0,Can't track all investments in one place,Mobile App,2024-09-18,Fed Rate Cut 50bps,Global Macro,IT/Metals,-6.33,48.6,1842.0,46.8,17.6,Extreme Fear,27.19,1,1
INV0012,2024-09-23,SELL,Direct Equity,HDFC Bank,47519,Social Media Tip,1,Fed Rate Cut 50bps,0,0,0,5,59,Male,Tier 3,10L-20L,Retired,12th Pass,Zerodha,4,5,Moderate,1251527,22821,0,2.0,0,1,0,0,0,0,0,Can't track all investments in one place,Mobile App,2024-09-18,Fed Rate Cut 50bps,Global Macro,IT/Metals,-6.33,48.6,1842.0,46.8,17.6,Extreme Fear,0.0,1,1
INV0012,2024-10-14,BUY,Direct Equity,Power Grid,2648,Broker Recommendation,0,No Event,1,331,0,6,59,Male,Tier 3,10L-20L,Retired,12th Pass,Zerodha,4,5,Moderate,1251527,22821,0,2.0,0,1,0,0,0,0,0,Can't track all investments in one place,Mobile App,No Event,No Event,No Event,No Event,0.0,0.0,0.0,0.0,0.0,No Event,12.5,0,0
INV0012,2024-10-25,SELL,Mutual Fund,ICICI Pru Pharma ETF,1598,Own Research,0,No Event,0,0,0,5,59,Male,Tier 3,10L-20L,Retired,12th Pass,Zerodha,4,5,Moderate,1251527,22821,0,2.0,0,1,0,0,0,0,0,Can't track all investments in one place,Mobile App,No Event,No Event,No Event,No Event,0.0,0.0,0.0,0.0,0.0,No Event,0.0,0,0
INV0012,2024-11-07,BUY,Direct Equity,Titan,3190,Broker Recommendation,0,No Event,1,1335,0,7,59,Male,Tier 3,10L-20L,Retired,12th Pass,Zerodha,4,5,Moderate,1251527,22821,0,2.0,0,1,0,0,0,0,0,Can't track all investments in one place,Mobile App,No Event,No Event,No Event,No Event,0.0,0.0,0.0,0.0,0.0,No Event,41.85,0,0
INV0012,2025-04-29,SELL,Direct Equity,Avenue Supermarts,45604,Social Media Tip,0,No Event,0,0,0,1,59,Male,Tier 3,10L-20L,Retired,12th Pass,Zerodha,4,5,Moderate,1251527,22821,0,2.0,0,1,0,0,0,0,0,Can't track all investments in one place,Mobile App,No Event,No Event,No Event,No Event,0.0,0.0,0.0,0.0,0.0,No Event,0.0,1,1
INV0012,2025-05-11,BUY,Direct Equity,SBI,24343,Own Research,0,No Event,0,0,1,2,59,Male,Tier 3,10L-20L,Retired,12th Pass,Zerodha,4,5,Moderate,1251527,22821,0,2.0,0,1,0,0,0,0,0,Can't track all investments in one place,Mobile App,No Event,No Event,No Event,No Event,0.0,0.0,0.0,0.0,0.0,No Event,0.0,0,0
INV0013,2024-02-03,BUY,Direct Equity,Bajaj Finserv,20705,Own Research,1,Budget Surprise LTCG Hike,0,0,0,2,50,Female,Tier 3,50L+,Freelancer,Graduate,Zerodha,2,6,Conservative,1672878,58251,0,1.5,0,0,0,0,0,0,0,No idea what will happen if a stock falls,Mobile App,2024-02-01,Budget Surprise LTCG Hike,Regulatory,All Sectors,-10.61,43.3,2301.0,35.1,20.4,Extreme Fear,0.0,0,0
INV0013,2024-03-27,SELL,Direct Equity,ITC,7765,News/Media,0,No Event,0,0,0,1,50,Female,Tier 3,50L+,Freelancer,Graduate,Zerodha,2,6,Conservative,1672878,58251,0,1.5,0,0,0,0,0,0,0,No idea what will happen if a stock falls,Mobile App,No Event,No Event,No Event,No Event,0.0,0.0,0.0,0.0,0.0,No Event,0.0,0,0
INV0013,2024-06-03,BUY,Mutual Fund,SBI Nifty IT ETF,5150,News/Media,0,No Event,0,0,0,3,50,Female,Tier 3,50L+,Freelancer,Graduate,Zerodha,2,6,Conservative,1672878,58251,0,1.5,0,0,0,0,0,0,0,No idea what will happen if a stock falls,Mobile App,No Event,No Event,No Event,No Event,0.0,0.0,0.0,0.0,0.0,No Event,0.0,0,0
INV0013,2024-06-06,SELL,Direct Equity,Tata Steel,5749,FOMO,0,No Event,1,1805,0,6,50,Female,Tier 3,50L+,Freelancer,Graduate,Zerodha,2,6,Conservative,1672878,58251,0,1.5,0,0,0,0,0,0,0,No idea what will happen if a stock falls,Mobile App,No Event,No Event,No Event,No Event,0.0,0.0,0.0,0.0,0.0,No Event,31.4,1,1
INV0013,2024-06-28,SELL,Mutual Fund,Nippon India Multi Cap,52992,Social Media Tip,0,No Event,1,15251,0,6,50,Female,Tier 3,50L+,Freelancer,Graduate,Zerodha,2,6,Conservative,1672878,58251,0,1.5,0,0,0,0,0,0,0,No idea what will happen if a stock falls,Mobile App,No Event,No Event,No Event,No Event,0.0,0.0,0.0,0.0,0.0,No Event,28.78,1,1
INV0013,2024-07-04,BUY,Mutual Fund,Mirae Asset Hybrid Equity,4527,Technical Analysis,0,No Event,0,0,0,5,50,Female,Tier 3,50L+,Freelancer,Graduate,Zerodha,2,6,Conservative,1672878,58251,0,1.5,0,0,0,0,0,0,0,No idea what will happen if a stock falls,Mobile App,No Event,No Event,No Event,No Event,0.0,0.0,0.0,0.0,0.0,No Event,0.0,0,0
INV0013,2024-08-29,SELL,Direct Equity,Tata Steel,2468,Technical Analysis,0,No Event,1,1004,0,8,50,Female,Tier 3,50L+,Freelancer,Graduate,Zerodha,2,6,Conservative,1672878,58251,0,1.5,0,0,0,0,0,0,0,No idea what will happen if a stock falls,Mobile App,No Event,No Event,No Event,No Event,0.0,0.0,0.0,0.0,0.0,No Event,40.68,0,0
INV0013,2025-04-02,BUY,Mutual Fund,Kotak Emerging Equity,1199,Technical Analysis,1,Trump Tariff Shock,0,0,0,2,50,Female,Tier 3,50L+,Freelancer,Graduate,Zerodha,2,6,Conservative,1672878,58251,0,1.5,0,0,0,0,0,0,0,No idea what will happen if a stock falls,Mobile App,2025-04-07,Trump Tariff Shock,Global Macro,IT/Export,-3.49,41.4,1803.0,51.8,6.2,Fear,0.0,0,0
INV0014,2024-06-20,SELL,Direct Equity,HCL Tech,27285,Social Media Tip,0,No Event,1,5484,0,6,31,Female,Tier 1,<3L,Salaried-Private,Graduate,Zerodha,4,6,Moderate,206343,3602,1,4.0,0,0,1,0,0,1,0,Panic during market crashes,Mobile App,No Event,No Event,No Event,No Event,0.0,0.0,0.0,0.0,0.0,No Event,20.1,1,1
INV0014,2024-08-31,BUY,Direct Equity,Cipla,24736,FOMO,0,No Event,1,4925,0,7,31,Female,Tier 1,<3L,Salaried-Private,Graduate,Zerodha,4,6,Moderate,206343,3602,1,4.0,0,0,1,0,0,1,0,Panic during market crashes,Mobile App,No Event,No Event,No Event,No Event,0.0,0.0,0.0,0.0,0.0,No Event,19.91,1,1
INV0014,2025-02-26,BUY,Mutual Fund,SBI Small Cap,14730,Broker Recommendation,0,No Event,1,2201,0,9,31,Female,Tier 1,<3L,Salaried-Private,Graduate,Zerodha,4,6,Moderate,206343,3602,1,4.0,0,0,1,0,0,1,0,Panic during market crashes,Mobile App,No Event,No Event,No Event,No Event,0.0,0.0,0.0,0.0,0.0,No Event,14.94,0,0
INV0015,2024-02-23,BUY,Direct Equity,Nestle India,8965,FOMO,0,No Event,1,3586,0,9,30,Male,Tier 2,3L-6L,Salaried-Govt,Graduate,Upstox,2,6,Moderate,240896,6359,1,2.5,0,0,0,0,0,0,0,Don't know if I'm really diversified,Mobile App,No Event,No Event,No Event,No Event,0.0,0.0,0.0,0.0,0.0,No Event,40.0,1,1
INV0015,2024-09-27,SELL,Mutual Fund,SBI Bluechip,40111,News/Media,0,No Event,0,0,0,1,30,Male,Tier 2,3L-6L,Salaried-Govt,Graduate,Upstox,2,6,Moderate,240896,6359,1,2.5,0,0,0,0,0,0,0,Don't know if I'm really diversified,Mobile App,No Event,No Event,No Event,No Event,0.0,0.0,0.0,0.0,0.0,No Event,0.0,0,0
INV0015,2024-12-19,BUY,Direct Equity,HDFC Bank,35827,News/Media,0,No Event,1,12274,0,9,30,Male,Tier 2,3L-6L,Salaried-Govt,Graduate,Upstox,2,6,Moderate,240896,6359,1,2.5,0,0,0,0,0,0,0,Don't know if I'm really diversified,Mobile App,No Event,No Event,No Event,No Event,0.0,0.0,0.0,0.0,0.0,No Event,34.26,0,0
